name,lat,lon,diam
 ,-61.815,-41.421,101.955
 ,23.343,40.193,101.831
 ,73.347,-123.942,101.811
 ,44.528,-149.510,101.796
 ,-19.806,-26.391,101.683
 ,25.354,-93.047,101.622
 ,50.403,20.584,101.536
 ,18.916,3.924,101.493
Firdousi,3.419,65.325,101.405
 ,-48.855,135.022,101.391
Amaral,-26.500,117.855,101.380
 ,-26.791,108.614,101.369
 ,45.604,106.514,101.322
 ,5.197,139.639,101.301
Van Dijck,75.890,-166.460,101.265
 ,37.975,79.011,101.094
 ,67.497,175.228,101.068
 ,-2.346,-156.739,101.061
 ,47.603,33.295,101.004
Disney,-68.149,100.226,100.862
 ,-17.188,-174.005,100.775
 ,-29.286,-177.872,100.771
van Gogh,-76.806,-138.534,100.687
 ,15.206,-57.386,100.616
 ,23.010,-84.012,100.564
Lennon,-36.388,41.205,100.486
Yeats,9.458,-35.110,100.412
 ,6.453,-29.661,100.325
Leopardi,-73.093,175.007,100.290
 ,12.560,54.169,100.247
 ,-68.376,-150.959,100.100
 ,-13.349,-130.000,100.075
 ,-69.990,-146.561,100.056
 ,-55.569,-62.176,100.018
 ,-13.492,-114.486,99.983
 ,12.552,-76.682,99.968
 ,3.007,-170.586,99.930
 ,11.307,-129.886,99.915
 ,37.170,87.527,99.895
Atget,25.602,166.340,99.884
 ,-2.683,134.514,99.875
 ,-44.099,106.830,99.865
 ,-32.770,39.497,99.778
 ,-9.192,-90.286,99.772
 ,60.695,-125.200,99.707
Hals,-54.889,-115.086,99.558
 ,-57.002,20.205,99.548
 ,-41.154,171.539,99.489
 ,-40.181,35.972,99.390
 ,-13.364,177.289,99.368
 ,9.069,5.456,99.354
 ,11.701,-89.100,99.288
 ,14.026,3.534,99.274
Brahms,58.357,-177.293,99.237
 ,-18.892,130.514,99.161
 ,60.335,36.670,99.118
 ,-54.268,156.618,99.096
 ,-44.273,-102.735,98.950
 ,-41.176,167.319,98.935
 ,41.472,-31.900,98.911
Titian,-3.541,-42.705,98.799
 ,4.105,-62.370,98.775
Mansur,47.437,-163.635,98.773
Kenko,-21.266,-16.151,98.741
Hokusai,57.726,16.838,98.700
 ,-58.238,132.753,98.669
 ,67.019,-102.981,98.643
 ,66.679,-147.586,98.598
 ,-47.989,6.121,98.555
Kerouac,25.106,129.114,98.515
 ,-34.923,142.745,98.426
Gluck,37.865,-18.816,98.379
Neruda,-52.589,125.614,98.305
 ,-27.399,-30.830,98.248
 ,-5.093,-171.486,98.123
 ,15.961,97.912,98.110
 ,-42.004,164.609,98.094
 ,-17.312,-151.985,98.032
 ,-46.290,127.814,98.007
 ,21.605,132.523,97.925
 ,29.022,4.239,97.792
 ,-17.092,110.314,97.787
Al-Akhtal,59.434,-99.604,97.574
 ,-56.626,-130.224,97.514
 ,-43.070,-115.355,97.316
 ,23.115,-71.900,97.125
 ,-16.840,-35.018,97.102
 ,-84.799,72.430,97.055
Lu Hsun,-0.033,-23.788,97.027
 ,39.463,-60.395,96.990
 ,-64.308,-165.593,96.933
Akutagawa,48.218,-141.092,96.908
 ,-10.492,-101.386,96.851
